"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"/home/bira/api_patrimonio/src/controllers/authController.js", "JavaScript", 0, 10, 0, 5, 15
"/home/bira/api_patrimonio/src/controllers/itemControllers.js", "JavaScript", 0, -6, 0, 0, -6
"/home/bira/api_patrimonio/src/repositories/adminRepository.js", "JavaScript", 0, 2, 6, 1, 9
"/home/bira/api_patrimonio/src/repositories/authRepository.js", "JavaScript", 0, 24, 4, 9, 37
"/home/bira/api_patrimonio/src/repositories/itemRepository.js", "JavaScript", 0, -5, 0, 2, -3
"/home/bira/api_patrimonio/src/routes/authRoutes.js", "JavaScript", 0, 5, 0, 3, 8
"/home/bira/api_patrimonio/src/server.js", "JavaScript", 0, -1, 0, 1, 0
"/home/bira/api_patrimonio/src/services/authServices.js", "JavaScript", 0, 24, 2, 6, 32
"/home/bira/api_patrimonio/src/services/itemService.js", "JavaScript", 0, -4, 0, 1, -3
"Total", "-", 157, 1678, 130, 315, 2280
