"filename", "language", "TypeScript", "JavaScript", "JSON", "MS SQL", "comment", "blank", "total"
"/home/bira/api_patrimonio/.history/src/controllers/categoriesControllers_20260413231701.js", "JavaScript", 0, 60, 0, 0, 1, 8, 69
"/home/bira/api_patrimonio/.history/src/controllers/categoriesControllers_20260413232231.js", "JavaScript", 0, 60, 0, 0, 1, 8, 69
"/home/bira/api_patrimonio/.history/src/controllers/categoriesControllers_20260413232649.js", "JavaScript", 0, 60, 0, 0, 1, 8, 69
"/home/bira/api_patrimonio/.history/src/controllers/categoriesControllers_20260413232736.js", "JavaScript", 0, 60, 0, 0, 1, 8, 69
"/home/bira/api_patrimonio/.history/src/controllers/categoriesControllers_20260415132956.js", "JavaScript", 0, 60, 0, 0, 1, 8, 69
"/home/bira/api_patrimonio/.history/src/controllers/categoriesControllers_20260415151618.js", "JavaScript", 0, 58, 0, 0, 1, 8, 67
"/home/bira/api_patrimonio/.history/src/controllers/categoriesControllers_20260416100359.js", "JavaScript", 0, 58, 0, 0, 1, 8, 67
"/home/bira/api_patrimonio/.history/src/controllers/categoryItemsControllers_20260416095419.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/home/bira/api_patrimonio/.history/src/controllers/categoryItemsControllers_20260416095728.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/categoryItemsControllers_20260416100258.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/categoryItemsControllers_20260416100413.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/categoryItemsControllers_20260416102011.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/categoryItemsControllers_20260416102059.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/categoryItemsControllers_20260416103513.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/categoryItemsControllers_20260416103625.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415130453.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415131157.js", "JavaScript", 0, 11, 0, 0, 0, 1, 12
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415131253.js", "JavaScript", 0, 11, 0, 0, 0, 1, 12
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415131548.js", "JavaScript", 0, 16, 0, 0, 0, 1, 17
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415135743.js", "JavaScript", 0, 28, 0, 0, 0, 2, 30
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415151110.js", "JavaScript", 0, 28, 0, 0, 0, 3, 31
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415151130.js", "JavaScript", 0, 28, 0, 0, 0, 3, 31
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415151254.js", "JavaScript", 0, 28, 0, 0, 0, 3, 31
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415151438.js", "JavaScript", 0, 28, 0, 0, 0, 3, 31
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415151503.js", "JavaScript", 0, 28, 0, 0, 0, 3, 31
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415152236.js", "JavaScript", 0, 41, 0, 0, 0, 4, 45
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415152338.js", "JavaScript", 0, 41, 0, 0, 0, 4, 45
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415152701.js", "JavaScript", 0, 41, 0, 0, 0, 4, 45
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415152717.js", "JavaScript", 0, 41, 0, 0, 0, 4, 45
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415152959.js", "JavaScript", 0, 41, 0, 0, 0, 4, 45
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415155351.js", "JavaScript", 0, 59, 0, 0, 1, 7, 67
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415155657.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415155946.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260415161412.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemAuthorControllers_20260416100441.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemControllers_20260416010327.js", "JavaScript", 0, 92, 0, 0, 1, 7, 100
"/home/bira/api_patrimonio/.history/src/controllers/itemControllers_20260416020035.js", "JavaScript", 0, 92, 0, 0, 1, 7, 100
"/home/bira/api_patrimonio/.history/src/controllers/itemControllers_20260416100548.js", "JavaScript", 0, 93, 0, 0, 1, 8, 102
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417003350.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417004527.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417005406.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417005756.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417010730.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417010956.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417011604.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417012848.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417012856.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417085342.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417085400.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417085418.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417085423.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesController_20260417085428.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesControllers_20260417085427.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesControllers_20260417091740.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/itemImagesControllers_20260417092022.js", "JavaScript", 0, 60, 0, 0, 1, 7, 68
"/home/bira/api_patrimonio/.history/src/controllers/jtemsControllers_20260416004435.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
